date,serial_number,failure,Read_Error_Rate,Start_Stop_Count,Reallocated_Sectors_Count,Seek_Error_Rate,Power-On_Hours,Reported_Uncorrectable_Errors,Command_Timeout,Temperature_Difference,Power-off_Retract_Count,Load_Unload_Cycle,Current_Pending_Sector_Count,UltraDMA_CRC_Error_Count,Head_Flying_Hours
2024-01-01,ZHZ0N19K,0.0,0.6236876377991785,0.003186404673393521,0.0,0.0006161609989020044,0.9386272352835836,0.0,0.0,0.4838709677419355,0.5346385542168675,0.19440937781785392,0.0,0.0,0.9357054646495832
2024-01-02,ZHZ0N19K,0.0,0.21787825259823654,0.003186404673393521,0.0,0.0006244075180276683,0.9394202972703318,0.0,0.0,0.5161290322580645,0.536144578313253,0.1945897204688909,0.0,0.0,0.9365030359164351
2024-01-03,ZHZ0N19K,0.0,0.05117140611481519,0.003186404673393521,0.0,0.0006294484395327219,0.939804036941339,0.0,0.0,0.5161290322580645,0.536144578313253,0.1945897204688909,0.0,0.0,0.9369146856025522
2024-01-04,ZHZ0N19K,0.0,0.047146922674057394,0.003186404673393521,0.0,0.0006393943181021405,0.940622681572821,0.0,0.0,0.45161290322580644,0.536144578313253,0.19486023444544634,0.0,0.0,0.9377122568694042
2024-01-05,ZHZ0N19K,0.0,0.0482527582127458,0.003186404673393521,0.0,0.0006483270746732677,0.9410064212438282,0.0,0.0,0.41935483870967744,0.536144578313253,0.19486023444544634,0.0,0.0,0.9381239065555212
2024-01-06,ZHZ0N19K,0.0,0.18075279033911545,0.003186404673393521,0.0,0.000676509638066969,0.9418250658753102,0.0,0.0,0.45161290322580644,0.536144578313253,0.19504057709648331,0.0,0.0,0.9389214778223731
2024-01-07,ZHZ0N19K,0.0,0.0044816941323087165,0.003186404673393521,0.0,0.0006829489699218239,0.9422088055463174,0.0,0.0,0.41935483870967744,0.536144578313253,0.19504057709648331,0.0,0.0,0.9393073994031079
2024-01-08,ZHZ0N19K,0.0,0.8836352403458948,0.003186404673393521,0.0,0.000694315359271376,0.9430274501777994,0.0,0.0,0.3870967741935484,0.5376506024096386,0.1952209197475203,0.0,0.0,0.9401049706699599
2024-01-09,ZHZ0N19K,0.0,0.599552571460192,0.003186404673393521,0.0,0.0006985852779591278,0.9434111898488066,0.0,0.0,0.41935483870967744,0.5376506024096386,0.1952209197475203,0.0,0.0,0.940516620356077
2024-01-10,ZHZ0N19K,0.0,0.11490222306610401,0.003186404673393521,0.0,0.0007071425886344112,0.9442042518355548,0.0,0.0,0.3870967741935484,0.5391566265060241,0.19531109107303876,0.0,0.0,0.9413141916229288
2024-01-11,ZHZ0N19K,0.0,0.5640935498904163,0.003186404673393521,0.0,0.0007184192534784198,0.9449973138223029,0.0,0.0,0.3870967741935484,0.5406626506024096,0.19558160504959424,0.0,0.0,0.9421117628897808
2024-01-12,ZHZ0N19K,0.0,0.23171209685012092,0.003186404673393521,0.0,0.0007278972951644382,0.945406636138044,0.0,0.0,0.3870967741935484,0.5406626506024096,0.19558160504959424,0.0,0.0,0.9424976844705156
2024-01-13,ZHZ0N19K,0.0,0.7736688733767332,0.003186404673393521,0.0,0.0007561370258411424,0.9461996981247921,0.0,0.0,0.3870967741935484,0.5421686746987951,0.1957619477006312,0.0,0.0,0.9433209838427499
2024-01-14,ZHZ0N19K,0.0,0.39386260456477684,0.003186404673393521,0.0,0.0007631981237891002,0.9466090204405332,0.0,0.0,0.3548387096774194,0.5421686746987951,0.1957619477006312,0.0,0.0,0.9437069054234846
2024-01-15,ZHZ0N19K,0.0,0.7939300240462599,0.003186404673393521,0.0,0.00077300030773419,0.9474020824272813,0.0,0.0,0.3548387096774194,0.5436746987951807,0.19594229035166816,0.0,0.0,0.9445044766903365
2024-01-16,ZHZ0N19K,0.0,0.629711528803454,0.003186404673393521,0.0,0.0007789623000957254,0.9478114047430223,0.0,0.0,0.3548387096774194,0.5436746987951807,0.19594229035166816,0.0,0.0,0.9449161263764536
2024-01-17,ZHZ0N19K,0.0,0.6425714523243363,0.003186404673393521,0.0,0.0007885726881723283,0.9486044667297705,0.0,0.0,0.3870967741935484,0.5451807228915663,0.19612263300270513,0.0,0.0,0.9457136976433056
